Timestamp,Rule,Vendor,Target,Severity,Risk Score,Reason,Action
0.8,UNUSUAL_RESOURCE_COUNT,vend-001_elevated,support_api,MEDIUM,24.3,"Vendor identity probed 3 distinct banking assets, indicating network scanning or recon.",Apply rate-limiting on gateway API and inspect subsequent lateral hops.
1.2,REPEATED_UNAUTHORIZED_ACCESS,vend-001_elevated,application_server,HIGH,24.3,Repeated policy violations observed: 2 blocked requests recorded for vendor.,Temporarily suspend vendor routing tunnel and alert SOC analyst for active intrusion inspection.
2.4,PRIVILEGE_ESCALATION,vend-001_elevated,iam_controller,CRITICAL,24.3,Vendor identity attempted unauthorized role transition / privilege escalation to ADMIN.,"Enforce emergency PAM session termination, lock vendor service credentials, and initiate incident response."
2.6,RANSOMWARE_BEHAVIOR_DETECTED,vend-001_elevated,vendor_documents,CRITICAL,24.3,Rapid unauthorized file write/rename pattern detected against asset 'vendor_documents'.,"Trigger automated containment: isolate target, revoke credentials, and snapshot backup volumes."
2.8,SENSITIVE_ZONE_ACCESS,vend-001_elevated,customer_database,HIGH,24.3,Third-party vendor attempted unsegmented access to high-criticality banking asset 'customer_database' in SENSITIVE_ZONE.,"Immediately quarantine vendor session, isolate host gateway, and audit database transaction logs."
2.8,RANSOMWARE_BEHAVIOR_DETECTED,vend-001_elevated,customer_database,CRITICAL,24.3,Rapid unauthorized file write/rename pattern detected against asset 'customer_database'.,"Trigger automated containment: isolate target, revoke credentials, and snapshot backup volumes."
3.0,SENSITIVE_ZONE_ACCESS,vend-001_elevated,transaction_database,HIGH,24.3,Third-party vendor attempted unsegmented access to high-criticality banking asset 'transaction_database' in SENSITIVE_ZONE.,"Immediately quarantine vendor session, isolate host gateway, and audit database transaction logs."
3.0,RANSOMWARE_BEHAVIOR_DETECTED,vend-001_elevated,transaction_database,CRITICAL,24.3,Rapid unauthorized file write/rename pattern detected against asset 'transaction_database'.,"Trigger automated containment: isolate target, revoke credentials, and snapshot backup volumes."
3.2,SENSITIVE_ZONE_ACCESS,vend-001_elevated,employee_records,HIGH,24.3,Third-party vendor attempted unsegmented access to high-criticality banking asset 'employee_records' in SENSITIVE_ZONE.,"Immediately quarantine vendor session, isolate host gateway, and audit database transaction logs."
3.2,RANSOMWARE_BEHAVIOR_DETECTED,vend-001_elevated,employee_records,CRITICAL,24.3,Rapid unauthorized file write/rename pattern detected against asset 'employee_records'.,"Trigger automated containment: isolate target, revoke credentials, and snapshot backup volumes."
3.4,SENSITIVE_ZONE_ACCESS,vend-001_elevated,backup_server,CRITICAL,24.3,Third-party vendor attempted unsegmented access to high-criticality banking asset 'backup_server' in BACKUP_ZONE.,"Immediately quarantine vendor session, isolate host gateway, and audit database transaction logs."
3.4,RANSOMWARE_BEHAVIOR_DETECTED,vend-001_elevated,backup_server,CRITICAL,24.3,Rapid unauthorized file write/rename pattern detected against asset 'backup_server'.,"Trigger automated containment: isolate target, revoke credentials, and snapshot backup volumes."
